Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S94496198,Downy Woodpecker,Dryobates pubescens,10892,2.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94507139,Downy Woodpecker,Dryobates pubescens,10892,8.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,10:16 AM,eBird - Traveling Count,169,1,3.144,,4,,,,
S94511831,Downy Woodpecker,Dryobates pubescens,10892,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,1:38 PM,eBird - Traveling Count,46,1,1.143,,3,,,,
S94520472,Downy Woodpecker,Dryobates pubescens,10892,3.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,2:27 PM,eBird - Traveling Count,166,1,4.281,,3,,,,
S94524518,Downy Woodpecker,Dryobates pubescens,10892,4.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,5:17 PM,eBird - Traveling Count,77,1,1.227,,3,,,,
S94507139,Eastern Phoebe,Sayornis phoebe,16339,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,10:16 AM,eBird - Traveling Count,169,1,3.144,,4,,,,
S94520472,Eastern Phoebe,Sayornis phoebe,16339,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,2:27 PM,eBird - Traveling Count,166,1,4.281,,3,,,,
S94496198,Eastern Wood-Pewee,Contopus virens,16241,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94507139,Eastern Wood-Pewee,Contopus virens,16241,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,10:16 AM,eBird - Traveling Count,169,1,3.144,,4,,,,
S94520472,Eastern Wood-Pewee,Contopus virens,16241,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,2:27 PM,eBird - Traveling Count,166,1,4.281,,3,,,,
S94524518,Eastern Wood-Pewee,Contopus virens,16241,2.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,5:17 PM,eBird - Traveling Count,77,1,1.227,,3,,,,
S94496198,European Starling,Sturnus vulgaris,26890,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94511831,European Starling,Sturnus vulgaris,26890,100.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,1:38 PM,eBird - Traveling Count,46,1,1.143,,3,,,,
S94520472,European Starling,Sturnus vulgaris,26890,2.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,2:27 PM,eBird - Traveling Count,166,1,4.281,,3,,,,
S94496198,flycatcher sp. (Tyrannidae sp.),Tyrannidae sp.,16825,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94520472,flycatcher sp. (Tyrannidae sp.),Tyrannidae sp.,16825,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,2:27 PM,eBird - Traveling Count,166,1,4.281,,3,,,,
S94496198,Gray Catbird,Dumetella carolinensis,27065,10.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94507139,Gray Catbird,Dumetella carolinensis,27065,3.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,10:16 AM,eBird - Traveling Count,169,1,3.144,,4,,,,
S94511831,Gray Catbird,Dumetella carolinensis,27065,2.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,1:38 PM,eBird - Traveling Count,46,1,1.143,,3,,,,
S94520472,Gray Catbird,Dumetella carolinensis,27065,4.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,2:27 PM,eBird - Traveling Count,166,1,4.281,,3,,,,
S94524518,Gray Catbird,Dumetella carolinensis,27065,4.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,5:17 PM,eBird - Traveling Count,77,1,1.227,,3,,,,
S94496198,Great Blue Heron,Ardea herodias,7168,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94496198,Great Crested Flycatcher,Myiarchus crinitus,16665,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94520472,Great Crested Flycatcher,Myiarchus crinitus,16665,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,2:27 PM,eBird - Traveling Count,166,1,4.281,,3,,,,
S94496198,gull sp.,Larinae sp.,6409,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94507139,Hairy Woodpecker,Dryobates villosus,10918,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,10:16 AM,eBird - Traveling Count,169,1,3.144,,4,,,,
S94496198,House Sparrow,Passer domesticus,30494,2.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94511831,House Sparrow,Passer domesticus,30494,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,1:38 PM,eBird - Traveling Count,46,1,1.143,,3,,,,
S94520472,House Sparrow,Passer domesticus,30494,7.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,2:27 PM,eBird - Traveling Count,166,1,4.281,,3,,,,
S94496198,House Wren,Troglodytes aedon,26278,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94496198,Magnolia Warbler,Setophaga magnolia,32971,6.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94507139,Magnolia Warbler,Setophaga magnolia,32971,2.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,10:16 AM,eBird - Traveling Count,169,1,3.144,,4,,,,
S94520472,Magnolia Warbler,Setophaga magnolia,32971,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,2:27 PM,eBird - Traveling Count,166,1,4.281,,3,,,,
S94524518,Magnolia Warbler,Setophaga magnolia,32971,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,5:17 PM,eBird - Traveling Count,77,1,1.227,,3,,,,
S94496198,Mallard,Anas platyrhynchos,483,14.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94520472,Mallard,Anas platyrhynchos,483,11.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,2:27 PM,eBird - Traveling Count,166,1,4.281,,3,,,,
S94496198,Mourning Dove,Zenaida macroura,2369,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94520472,Mourning Dove,Zenaida macroura,2369,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,2:27 PM,eBird - Traveling Count,166,1,4.281,,3,,,,
